"id","categoria"
1,"SCOTCH WHISKIES"
2,"STRAIGHT BOURBON WHISKIES"
3,"BLENDED WHISKIES"
4,"IMPORTED DRY GINS"
5,"DECANTERS & SPECIALTY PACKAGES"
6,"VODKA 80 PROOF"
7,"VODKA FLAVORED"
8,"PUERTO RICO & VIRGIN ISLANDS RUM"
9,"CANADIAN WHISKIES"
10,"SPICED RUM"
11,"SINGLE MALT SCOTCH"
12,"PRIVATE LABEL BRANDY"
13,"MISCELLANEOUS  BRANDIES"
14,"AMERICAN COCKTAILS"
15,"IMPORTED GRAPE BRANDIES"
16,"COFFEE LIQUEURS"
17,"AMERICAN DRY GINS"
18,"IMPORTED ALE"
19,"IMPORTED VODKA"
20,"WHISKEY LIQUEUR"
21,"PRIVATE LABEL CANADIAN WHISKY"
22,"IRISH WHISKIES"
23,"STRAIGHT RYE WHISKIES"
24,"FLAVORED RUM"
25,"SAMPLE"
26,"JAPANESE WHISKY"
27,"BOTTLED IN BOND BOURBON"
28,"MISCELLANEOUS SCHNAPPS"
29,"PRIVATE LABEL BOURBON"
30,"SINGLE BARREL BOURBON WHISKIES"
31,"DISTILLED SPIRITS SPECIALTY"
32,"TENNESSEE WHISKIES"
33,"PRIVATE LABEL BLENDED WHISKEY"
34,"MISC. AMERICAN CORDIALS & LIQUEURS"
35,"PRIVATE LABEL BLEND WHISKY"
36,"CREAM LIQUEURS"
37,"PEPPERMINT SCHNAPPS"
38,"CORN WHISKIES"
39,"AMERICAN ALCOHOL"
40,"FLAVORED GINS"
41,"PRIVATE LABEL GIN"
42,"IMPORTED VODKA - MISC"
43,"MISC. IMPORTED CORDIALS & LIQUEURS"
44,"AMERICAN SLOE GINS"
45,"TEQUILA"
46,"PRIVATE LABEL VODKA"
47,"100 PROOF VODKA"
48,"PRIVATE LABEL LOW PROOF VODKA"
49,"OTHER PROOF VODKA"
50,"LOW PROOF VODKA"
51,"JAMAICA RUM"
52,"BARBADOS RUM"
53,"PRIVATE LABEL RUM"
54,"AMERICAN RUMS"
55,"AMERICAN GRAPE BRANDIES"
56,"APRICOT BRANDIES"
57,"BLACKBERRY BRANDIES"
58,"CHERRY BRANDIES"
59,"PEACH BRANDIES"
60,"SCHNAPPS - IMPORTED"
61,"IMPORTED SCHNAPPS"
62,"IMPORTED AMARETTO"
63,"TRIPLE SEC"
64,"PRIVATE LABEL SCOTCH"
65,"PRIVATE LABEL CREAM LIQUEUR"
66,"CINNAMON SCHNAPPS"
67,"PRIVATE LABEL AMARETTO"
68,"PRIVATE LABEL CORDIALS & LIQUEU"
69,"PRIVATE LABEL COFFEE LIQUEUR"
70,"AMERICAN AMARETTO"
71,"APPLE SCHNAPPS"
72,"GRAPE SCHNAPPS"
73,"WATERMELON SCHNAPPS"
74,"PEACH SCHNAPPS"
75,"RASPBERRY SCHNAPPS"
76,"TROPICAL FRUIT SCHNAPPS"
77,"PRIVATE LABEL CREME DE CACAO DA"
78,"DARK CREME DE CACAO"
79,"PRIVATE LABEL CREME DE CACAO WH"
80,"WHITE CREME DE CACAO"
81,"PRIVATE LABEL CREME DE MENTHE G"
82,"GREEN CREME DE MENTHE"
83,"PRIVATE LABEL CREME DE MENTHE W"
84,"WHITE CREME DE MENTHE"
85,"CREME DE ALMOND"
86,"PRIVATE LABEL PEPPERMINT SCHNAP"
87,"PRIVATE LABEL PEACH SCHNAPPS"
88,"BUTTERSCOTCH SCHNAPPS"
89,"SPEARMINT SCHNAPPS"
90,"LEMONADE SCHNAPPS"
91,"ROOT BEER SCHNAPPS"
92,"APRICOT SCHNAPPS"
93,"STRAWBERRY SCHNAPPS"
94,"ANISETTE"
95,"ROCK & RYE"
96,"PRIVATE LABEL TRIPLE SEC"
97,"PRIVATE LABEL TEQUILA"
98,"AMARETTO - IMPORTED"
99,"HIGH PROOF BEER - AMERICAN"
100,"SPECIALTY ITEMS - SPIRITS - AME"
101,"IMPORTED VODKA - CHERRY"
